Date,Close,Return,Volume,EMA,MACD,RSI
2006-04-28,1571.378173828125,-0.006955470569671051,228807,-0.0024918580087711075,-23.719777607349215,39.47485100786791
2006-05-02,1573.3720703125,0.001268079559117013,162680,-0.002249281391488003,-23.833768085668225,40.06615429492783
2006-05-03,1572.3756103515625,-0.0006335282390195866,190556,-0.002145039252619073,-23.73095665575738,39.85659038244565
2006-05-04,1576.36376953125,0.0025331796831680646,288674,-0.001843218676116677,-23.061824385444652,41.182585972409846
2006-05-05,1600.2935791015625,0.015066316320796198,126738,-0.0007522809343803625,-20.36583196422953,48.51705765322295
2006-05-08,1610.2640380859375,0.006211065008635203,435237,-0.0003030328090245196,-17.226133687153833,51.24504446516055
2006-05-09,1616.24609375,0.003708069879816078,137546,-4.425199038964235e-05,-14.092745882201825,52.85902196988581
2006-05-10,1613.3519287109375,-0.0017922761864895811,196098,-0.00015702774497673515,-11.708084888478652,51.9627732255582
2006-05-11,1570.475341796875,-0.02693561904278888,222802,-0.0018846787964484865,-13.126689790945875,40.89899080922059
2006-05-12,1584.4351806640625,0.008849651915411883,217558,-0.0011921413311671723,-12.97493509218043,45.00464350115386
2006-05-15,1548.5386962890625,-0.0229162812770407,466922,-0.0025936987470299806,-15.571713667595759,37.74377122127516
2006-05-16,1550.5328369140625,0.001286927958168756,198513,-0.0023433357337913525,-17.2696946250569,38.338927600526794
2006-05-17,1497.68505859375,-0.034678015876198384,457344,-0.004429444130075677,-22.618993137223015,30.12083653119243
2006-05-18,1461.7886962890625,-0.024259801432058054,255507,-0.0057088220205261525,-29.41580015382715,26.03812183382387
2006-05-19,1463.7828369140625,0.0013632487951170179,109791,-0.005252559387258851,-34.24663431750491,26.63306081941512
2006-05-22,1369.0555419921875,-0.0669029523976319,319195,-0.0092300040976055,-45.19779419087763,18.86863913151254
2006-05-23,1451.8172607421875,0.058694938301563984,652970,-0.004847749749271985,-46.66061374476362,36.33264567853796
2006-05-24,1442.8431396484375,-0.006200485448395667,631512,-0.00493502302018319,-47.99083685862297,35.44176893419993
2006-05-25,1454.808837890625,0.008258939548273662,226600,-0.004083799628669845,-47.531601696501866,37.63747935765645
2006-05-26,1515.6334228515625,0.04095894337470345,777841,-0.0011778162090973743,-41.77802774984798,47.426060663314665
