Date,Close,Return,Volume,EMA,MACD,RSI
2006-04-28,261.7369079589844,-0.027615092175367232,11002462,-0.004017265181583654,-5.182590506196391,27.097690294038536
2006-05-02,265.9246520996094,0.01587317472073348,8362670,-0.002734010994337388,-5.391877180290464,35.04528477240413
2006-05-03,265.6628112792969,-0.0009851279780905304,11383346,-0.0026211798319988808,-5.51528991426045,34.789903216477306
2006-05-04,268.8036804199219,0.011753422699954085,5777038,-0.0016937861202599798,-5.298574832343604,40.400389793893524
2006-05-05,270.8976135253906,0.0077596390285044016,6135012,-0.0010838877235655035,-4.9013637958489085,43.86772606672554
2006-05-08,277.7029113769531,0.024810938528155902,14200240,0.0005867462281584582,-3.9914298070649465,53.36381145449117
2006-05-09,264.3542785644531,-0.04926171037399074,15830438,-0.0026292832300447155,-4.297880384290465,39.31440410214504
2006-05-10,267.2333679199219,0.010832146029138841,11731843,-0.0017608039230006152,-4.259327350805393,42.81161661823876
2006-05-11,265.139404296875,-0.007866572186646614,8935739,-0.002154724456139067,-4.34762247283868,40.96267423825148
2006-05-12,258.595947265625,-0.024988947230530884,8682104,-0.0036279001190030547,-4.889239183786856,35.76464755396994
2006-05-15,251.7908477783203,-0.02666802062559067,10841221,-0.005114359506524837,-5.800721874442502,31.314202299330024
2006-05-16,248.6500396728516,-0.01255232904897185,11695274,-0.005594228509263353,-6.699290191780506,29.490225876886907
2006-05-17,240.0236358642578,-0.035309043453104566,8254446,-0.007511313344349883,-8.015097693608027,25.156161944605447
2006-05-18,237.66786193847656,-0.0098632403329319,10548141,-0.0076630505694196905,-9.142585847881548,24.11390851396791
2006-05-19,237.14437866210932,-0.0022050126079587824,10503102,-0.007310919088035116,-9.963515850080938,23.877171743175882
2006-05-22,232.43292236328125,-0.02006747088255503,7517393,-0.008133922429617045,-10.868992954273779,21.80253466791741
2006-05-23,248.923080444336,0.06854225742564109,27537412,-0.0031870721163745853,-10.139094964434463,41.09426444804946
2006-05-24,239.2384185791016,-0.039683312894308403,13935895,-0.005541668295596122,-10.224257942106902,35.54758661487582
2006-05-25,242.90289306640625,0.015201124493208585,6388291,-0.0042034235995442055,-9.882142561613904,38.907672109667104
2006-05-26,246.0437774658203,0.012847730816275353,7320576,-0.0031033491211042343,-9.250931555728954,41.71253258716488
2006-05-30,240.0236358642578,-0.024772076017371098,7405869,-0.004501331501508548,-9.131208513000928,38.10169220483748
2006-05-31,242.6410980224609,0.01084598742458453,9862409,-0.003511181893373511,-8.724548651941404,40.51283745981776
2006-06-01,246.0437774658203,0.013926088592786693,7360426,-0.002386196700718014,-8.035076626832591,43.58916407414423
2006-06-02,248.39959716796875,0.009529251072964793,14484301,-0.001617458134673962,-7.215395529760173,45.68350148119791
2006-06-05,242.90289306640625,-0.02237698188924013,3810661,-0.0029567822478717793,-6.92945202842057,41.7853956518146
2006-06-06,236.0973358154297,-0.028417586570174774,7216573,-0.004599414784794554,-7.169347561313089,37.51696741276865
2006-06-07,232.69464111328125,-0.014517119013572943,8669383,-0.005239266670522192,-7.547037968607526,35.56100088634439
2006-06-08,223.5333404541016,-0.04016646365844324,22549544,-0.007492634218130002,-8.487759132677525,30.89130328001029
2006-06-09,234.5269012451172,0.04800972155044777,13574550,-0.003911837071770145,-8.251085575526815,40.91756619118189
2006-06-12,230.86245727539065,-0.015748188633139402,12006097,-0.0046754726563746135,-8.263948426335332,38.89211255529044
2006-06-13,222.7482147216797,-0.035780058535522706,12332752,-0.006682220132448684,-8.82714011229234,34.78590918679685
2006-06-14,226.93618774414065,0.01862681510162076,16820859,-0.005049379149605494,-8.833709652349597,38.400795141196056
2006-06-15,236.0973358154297,0.03957529318860981,11119806,-0.0021703680310109583,-8.007383837279093,45.51549924618376
2006-06-16,234.0033569335937,-0.008908698766684773,25203651,-0.0026050990462157205,-7.435766384851462,44.25723151761729
2006-06-19,235.31201171875,0.005576881834000263,5483619,-0.0020772293120082377,-6.798785761086833,45.27543263146353
2006-06-20,235.57388305664065,0.001112249773428866,3233078,-0.001871456467786489,-6.201357806555336,45.49000250657231
2006-06-21,234.26510620117188,-0.005571186174644124,9444176,-0.0021101487069385945,-5.767020579292506,44.54985705544517
2006-06-22,232.17117309570312,-0.0089784918753776,8123747,-0.0025532676210314334,-5.528044246354256,43.01802403677175
2006-06-23,234.26510620117188,0.008978491875377618,8615010,-0.0018092831373921398,-5.110777022717343,45.05270405410405
2006-06-26,234.78863525390625,0.002232278410182288,11088322,-0.0015485372310970154,-4.68385278320855,45.57595747886339
2006-06-27,229.8154144287109,-0.0214092442191733,9230413,-0.0028298731658116145,-4.692714908871579,41.53010177460314
2006-06-28,235.83560180664065,0.02585851902245533,11331169,-0.0009790091536653603,-4.16593706938383,47.59475899928398
2006-06-29,236.62088012695312,0.003324238627209649,5098974,-0.00070138026457665,-3.6431010377444863,48.34735989058812
2006-06-30,241.59408569335932,0.020799787616678524,11791835,0.0006857918567946516,-2.7952318961172296,52.95521660392573
2006-07-03,247.35256958007807,0.02355574004251397,8300265,0.0021612723849055754,-1.6397262255756573,57.66462428617588
2006-07-04,247.6143035888672,0.001057582021636144,6811621,0.002090066555017225,-0.6948501100561941,57.87105394439506
2006-07-05,244.2115631103516,-0.01383739653932415,7293642,0.0010624882908661687,-0.21808772028515477,54.17274752302158
2006-07-06,240.2853240966797,-0.016207843918045018,7139276,-5.1726690353907706e-05,-0.1552748550846843,50.18737798745494
2006-07-07,239.7618408203125,-0.0021809668804458515,11378427,-0.00018909702519854924,-0.14605233197303846,49.66277653159774
2006-07-10,237.66786193847656,-0.008771939813640738,5892232,-0.0007428288180012711,-0.3042033448157895,47.522884098145006
2006-07-11,235.83560180664065,-0.007739201156582301,11334940,-0.001194207678554886,-0.5708073301260583,45.66859224958065
2006-07-12,235.05044555664065,-0.0033348067203761603,8636951,-0.0013323108425433554,-0.8358137165642745,44.86080680535166
2006-07-13,224.0569000244141,-0.04790011548665933,16724600,-0.004336685335712128,-1.9108928513409182,35.415120932179114
2006-07-14,224.8422088623047,0.003498824673406605,17444631,-0.0038311685609302743,-2.6687690427861526,36.444573742046984
2006-07-17,221.1776428222656,-0.016432669929514584,6078558,-0.004644168649226036,-3.524463417707466,33.74179481761719
2006-07-18,214.3722076416016,-0.0312524000511292,29251163,-0.006360828739671401,-4.69759813135741,29.383652043209253
2006-07-19,222.2246551513672,0.035975038070248544,11956277,-0.003629482493870115,-4.936780819262992,39.1499125369893
2006-07-20,220.39242553710932,-0.008279120530398715,12133631,-0.003929459141388089,-5.214075819537101,37.83506009220428
2006-07-21,215.419189453125,-0.02282386151634135,6915411,-0.005148452842997977,-5.768635455288631,34.452746067795196
2006-07-24,221.7011566162109,0.02874448536128935,6897520,-0.0029618116685278272,-5.636254479345951,41.55954978058219
2006-07-25,223.2716217041016,0.007058731163758478,9679380,-0.0023153250341867754,-5.343027103954029,43.21705550008604
